x avg
1 14.3392727273
2 14.776
3 16.6540909091
4 12.6896363636
5 10.135
6 13.2572727273
7 10.9470909091
8 12.1533636364
9 14.3141818182
10 10.8945555556
11 10.965875
12 9.880375
13 10.965
14 10.132375
15 11.46175
16 10.436375
17 10.919125
18 9.746
19 10.3856666667
20 9.95883333333
21 9.46516666667
22 12.7946666667
23 10.309
24 11.6376666667
25 9.80583333333
26 9.467
27 9.83333333333
28 11.837
29 11.7985
30 10.597
31 11.79975
32 12.5555
33 12.2145
34 14.372
35 10.373
36 9.24525
37 7.124
38 10.251
39 10.201
40 9.19333333333
41 9.28633333333
42 8.65233333333
43 9.472
44 9.475
45 8.70066666667
46 8.249
47 10.329
48 8.731
49 6.28
50 7.148
51 11.4135
52 11.542
53 11.878
54 8.977
55 8.627
56 5.2755
57 10.1145
58 7.7585
59 8.0275
60 7.659
61 9.3385
62 7.923
63 8.9435
64 7.6365
65 7.0585
66 7.1365
67 10.6775
68 8.1515
69 6.3805
70 8.403
71 8.751
72 9.038
