x avg
1 13.7711428571
2 14.1812142857
3 13.1580714286
4 11.0217142857
5 9.82235714286
6 13.5842142857
7 11.7348571429
8 10.8787142857
9 13.9407857143
10 10.3489166667
11 9.25254545455
12 9.46427272727
13 10.3743636364
14 9.59554545455
15 10.3050909091
16 10.3293636364
17 10.9211
18 9.0455
19 9.61488888889
20 9.27777777778
21 9.08722222222
22 10.9495555556
23 9.65733333333
24 11.165
25 8.86466666667
26 8.74022222222
27 8.56266666667
28 10.293
29 9.32528571429
30 9.74914285714
31 9.57228571429
32 12.0164285714
33 10.8855714286
34 11.3852857143
35 9.55371428571
36 8.21057142857
37 7.9208
38 9.3728
39 8.731
40 7.7632
41 8.1486
42 8.6814
43 10.114
44 8.659
45 8.5362
46 8.249
47 10.329
48 8.731
49 6.28
50 7.148
51 11.4135
52 11.542
53 11.878
54 8.977
55 8.627
56 5.2755
57 10.1145
58 7.7585
59 8.0275
60 7.659
61 9.3385
62 7.923
63 8.9435
64 7.6365
65 7.0585
66 7.1365
67 10.6775
68 8.1515
69 6.3805
70 8.403
71 8.751
72 9.038
